action,emergency_budget_type,emergency_budget_pct,emergency_cap,paths_used_in_lp,path_library_k,cycle,selected_od_count,active_od_count,PR,MLU,DB,decision_ms,exceeds_literal_K50_condition,all_od_lp_used,selected_od_lp_used,nonselected_policy,gnn_lpd_used,dqn_used_at_inference,rf_used_at_inference
EMERGENCY,percentage,60,2400,3,8,337,1412,2352,1.0,0.5559732626653756,0.0013854345682546955,560.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,338,1412,2352,1.0,0.5508932782276001,0.0008043605784175898,520.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,339,1412,2352,1.0,0.5341509962894344,0.0022436109221320656,636.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,340,1412,2352,1.0,0.5246210088061154,0.001640644339119242,524.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,341,1412,2352,1.0,0.5205241582405261,0.0002566007607364742,536.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,342,1412,2352,1.0,0.5081516554014929,0.00117205086898977,528.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,343,1412,2352,1.0,0.4924845535966785,0.0013390548030732885,448.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,344,1412,2352,1.0,0.47746772247063524,0.00164539861825372,602.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,345,1412,2352,1.0,0.469895385848299,0.0009294200890044257,519.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,346,1412,2352,1.0,0.4647630554902802,0.0004373221720175123,591.4,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,347,1412,2352,1.0,0.44951960977194444,0.0007373158095735691,560.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,348,1412,2352,1.0,0.44330502059733656,0.0007118821212835383,585.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,349,1412,2352,1.0,0.4326953388566796,0.0013380998455102414,769.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,350,1412,2352,1.0,0.4181995210538363,0.0008798903107938542,644.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,351,1412,2352,1.0,0.4108315967580885,0.0009363135484368156,778.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,352,1412,2352,1.0,0.40842649312791884,0.0002719738616706624,602.8,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,353,1412,2352,1.0,0.4109723234222763,0.0003213724204304621,685.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,354,1412,2352,1.0,0.40154817656635355,0.00011954785398193512,505.5,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,355,1412,2352,1.0,0.40335515466352334,0.00014852553502846198,461.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,356,1412,2352,1.0,0.403494501605542,0.0004979604339790147,542.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,357,1412,2352,1.0,0.39945567968084067,0.0005050004839431875,520.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,358,1412,2352,1.0,0.40188654222955467,0.0006896447086979918,616.6,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,359,1412,2352,1.0,0.4021693344113399,0.00022858529403430353,485.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,360,1412,2352,1.0,0.4018432145631786,0.00010965755535899578,417.3,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,361,1412,2352,1.0,0.4040976231212608,0.00027981936304531007,491.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,362,1412,2352,1.0,0.40550086053180795,0.0003864533509185133,340.1,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,363,1412,2352,1.0,0.4117875107874415,0.0002525800556737989,434.0,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,364,1412,2352,1.0,0.41277884999996756,0.00017415087089816915,407.7,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,365,1412,2352,1.0,0.4265591256110125,0.0003918508725716503,552.9,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,366,1412,2352,1.0,0.4223551817637902,0.000270551489620359,364.2,True,0,1,ECMP,1,1,0
EMERGENCY,percentage,60,2400,3,8,367,1412,2352,1.0,0.43701228393052016,0.00042398668819011986,403.8,True,0,1,ECMP,1,1,0
