topology,tm_index,action,selected_k,num_non_ecmp_ods_current,PR,DB,decision_time_ms
abilene,2208,OPTIMIZE_K40,40,40,1.0,0.0094507530050353,15.2
abilene,2209,EMERGENCY,50,50,1.0,0.0041083877676208,17.5
abilene,2210,EMERGENCY,50,50,1.0,0.0038015030949359,17.8
abilene,2211,EMERGENCY,50,50,1.0,0.0047879667329975,16.2
abilene,2212,EMERGENCY,50,50,1.0,0.0104325646914677,16.3
abilene,2213,EMERGENCY,50,50,0.9999999999999996,0.0059193863407345,17.8
abilene,2214,EMERGENCY,50,50,0.9508098783705085,0.025141543570473,16.4
abilene,2215,EMERGENCY,50,50,0.9887705484871856,0.0238509046125764,16.0
abilene,2216,EMERGENCY,50,50,0.9770883373738324,0.0096819130425077,16.1
abilene,2217,EMERGENCY,50,50,0.9567596504184812,0.0125375275160967,16.5
abilene,2218,EMERGENCY,50,50,0.9462078608061624,0.0049838489028841,16.0
abilene,2219,EMERGENCY,50,50,0.9608021441320248,0.0093186403366599,16.4
abilene,2220,EMERGENCY,50,50,0.9999999999999996,0.0181396208212336,15.9
abilene,2221,EMERGENCY,50,50,0.9999999999999998,0.0043813776521491,16.3
abilene,2222,EMERGENCY,50,50,1.0,0.0002771020990832,20.4
abilene,2223,EMERGENCY,50,50,1.0,0.0059429761923172,17.6
abilene,2224,EMERGENCY,50,50,1.0,0.0045369779581517,17.0
abilene,2225,EMERGENCY,50,50,0.9633350908565528,0.0170144552026079,17.6
abilene,2226,EMERGENCY,50,50,0.9898465015666384,0.013543504932367,18.3
abilene,2227,EMERGENCY,50,50,0.9822555437675548,0.0056401438877368,17.2
abilene,2228,EMERGENCY,50,50,0.9793052814854296,0.0061345863151679,16.9
abilene,2229,EMERGENCY,50,50,0.9518471879122412,0.0161475591729195,16.9
abilene,2230,EMERGENCY,50,50,0.9567491816319408,0.0058523144964034,16.5
abilene,2231,EMERGENCY,50,50,0.9625229067484904,0.0072330604878617,18.9
abilene,2232,EMERGENCY,50,50,0.9670363981197088,0.0148812932194534,15.9
abilene,2233,EMERGENCY,50,50,0.9806830609797464,0.010866981750855,15.6
abilene,2234,EMERGENCY,50,50,0.9712361522655516,0.0155251443964113,21.3
abilene,2235,EMERGENCY,50,50,0.970692278028584,0.0050517545212846,16.3
abilene,2236,EMERGENCY,50,50,0.9747590193798844,0.0072148148026496,18.5
abilene,2237,EMERGENCY,50,50,0.9878436268260926,0.0049165074130998,19.2
abilene,2238,OPTIMIZE_K40,40,40,0.9745426044395716,0.019482260353156,15.7
abilene,2239,EMERGENCY,50,50,0.9539329014846548,0.0110143896631485,16.5
abilene,2240,EMERGENCY,50,50,0.9776646343649974,0.0082852039262379,18.0
abilene,2241,EMERGENCY,50,50,0.9669672548253349,0.0127291373895682,18.2
abilene,2242,EMERGENCY,50,50,0.963659726047597,0.0090444896087393,16.7
abilene,2243,EMERGENCY,50,50,0.9629514835345918,0.0007152460824528,17.0
abilene,2244,OPTIMIZE_K40,40,40,0.990342131878896,0.019536608399945,14.1
abilene,2245,OPTIMIZE_K40,40,40,0.9587923756027537,0.0132565538119359,14.2
abilene,2246,OPTIMIZE_K40,40,40,0.9602758265403932,0.0191371083470064,14.3
abilene,2247,OPTIMIZE_K40,40,40,0.9644401450182876,0.0074936119298776,14.5
abilene,2248,EMERGENCY,50,50,0.9640390601888916,0.0065395090636831,16.2
abilene,2249,EMERGENCY,50,50,0.9708348526115312,0.005194755103165,18.4
abilene,2250,EMERGENCY,50,50,0.9509769694638616,0.0112013819842302,16.9
abilene,2251,OPTIMIZE_K40,40,40,0.9489723341439286,0.0035842308903934,13.6
abilene,2252,OPTIMIZE_K40,40,40,0.9836483093094318,0.0131208091138526,13.4
abilene,2253,EMERGENCY,50,50,0.9880009461782702,0.0055507461482246,16.2
abilene,2254,OPTIMIZE_K40,40,40,0.9999999999999998,0.0148589480709546,13.5
abilene,2255,EMERGENCY,50,50,0.991200847353518,0.0068292444496988,15.9
abilene,2256,EMERGENCY,50,50,0.9986133068014956,0.0610425738374505,15.6
abilene,2257,EMERGENCY,50,50,0.9760181794247076,0.0463859637797952,16.7
abilene,2258,OPTIMIZE_K40,40,40,0.9865469902171348,0.0227282560597707,14.6
abilene,2259,EMERGENCY,50,50,0.9999999999999996,0.0260833537461495,20.1
abilene,2260,EMERGENCY,50,50,0.9974633443454336,0.0228201730691771,17.9
abilene,2261,EMERGENCY,50,50,1.0,0.0001498892157244,17.3
abilene,2262,OPTIMIZE_K40,40,40,1.0,0.0111125115422543,14.3
abilene,2263,EMERGENCY,50,50,0.9850733583674052,0.0047238855778352,16.3
abilene,2264,EMERGENCY,50,50,0.9948299329768576,0.0119789231620296,17.2
abilene,2265,EMERGENCY,50,50,1.0,0.0032572850181921,17.5
abilene,2266,EMERGENCY,50,50,0.9725852511709911,0.0429364872760067,16.1
abilene,2267,EMERGENCY,50,50,0.9505828687316472,0.0064907117669018,16.1
abilene,2268,EMERGENCY,50,50,0.9845600849234594,0.0188083748738854,16.4
abilene,2269,EMERGENCY,50,50,0.967646302443926,0.0146743235591483,17.2
abilene,2270,EMERGENCY,50,50,0.9676616957894284,0.0077021562493995,17.5
abilene,2271,EMERGENCY,50,50,0.9618833318531326,0.0124830138904318,16.4
abilene,2272,EMERGENCY,50,50,0.9556275100670372,0.0109533164272129,15.8
abilene,2273,EMERGENCY,50,50,0.9581057196699664,0.0127608790006771,15.8
abilene,2274,EMERGENCY,50,50,0.9787078514093618,0.0069700320827419,17.3
abilene,2275,EMERGENCY,50,50,0.968495320093993,0.0086763559302296,15.9
abilene,2276,EMERGENCY,50,50,0.9563930713623816,0.0158136823487409,18.0
abilene,2277,EMERGENCY,50,50,0.9838078325777876,0.0144135760096756,17.1
abilene,2278,EMERGENCY,50,50,0.980058561868352,0.0056451387208067,17.4
abilene,2279,EMERGENCY,50,50,0.9938883135240436,0.0062150745666738,19.7
abilene,2280,EMERGENCY,50,50,0.9771268225842278,0.0037358454567846,19.0
abilene,2281,OPTIMIZE_K40,40,40,0.9695568226062586,0.0124246314151842,16.8
abilene,2282,EMERGENCY,50,50,0.9872774721083672,0.0049812893789565,15.7
abilene,2283,OPTIMIZE_K40,40,40,1.0,0.0073456302606674,14.3
abilene,2284,OPTIMIZE_K40,40,40,1.0,0.0044683363646666,14.7
abilene,2285,OPTIMIZE_K40,40,40,0.9999999999999998,0.0091731218138725,14.0
abilene,2286,OPTIMIZE_K40,40,40,1.0,0.0056295395449342,16.1
abilene,2287,OPTIMIZE_K40,40,40,1.0,0.0022008810531826,15.1
abilene,2288,OPTIMIZE_K40,40,40,0.9999999999999998,0.0143903219111788,14.3
abilene,2289,OPTIMIZE_K40,40,40,0.9999999999999998,0.0187829685212841,15.0
abilene,2290,EMERGENCY,50,50,0.9999999999999998,0.0005227575160426,18.0
abilene,2291,EMERGENCY,50,50,1.0,0.0022024357209527,19.9
abilene,2292,EMERGENCY,50,50,1.0,0.0047807357661811,17.1
abilene,2293,OPTIMIZE_K40,40,40,0.9999999999999996,0.0024452194526982,16.7
abilene,2294,OPTIMIZE_K40,40,40,0.9999999999999998,0.0050684224143647,15.8
abilene,2295,OPTIMIZE_K40,40,40,1.0,0.0064889214564426,13.9
abilene,2296,OPTIMIZE_K40,40,40,0.9999999999999998,0.0156674298741214,14.7
abilene,2297,OPTIMIZE_K40,40,40,0.9999999999999998,0.0029400066457498,14.0
abilene,2298,EMERGENCY,50,50,1.0,0.0090174093692057,18.3
abilene,2299,OPTIMIZE_K40,40,40,0.9999999999999998,0.0102146738876185,17.5
abilene,2300,OPTIMIZE_K40,40,40,0.9733976912000424,0.0287365944208421,15.5
abilene,2301,EMERGENCY,50,50,0.9994454374568844,0.0155753775772162,18.2
abilene,2302,EMERGENCY,50,50,0.9999999999999998,0.0093714227896351,18.9
abilene,2303,EMERGENCY,50,50,0.9823527138641108,0.0149852679623422,16.2
abilene,2304,OPTIMIZE_K40,40,40,0.9999999999999998,0.010765371245741,14.9
abilene,2305,EMERGENCY,50,50,0.9999999999999998,0.0010778679694187,16.5
abilene,2306,EMERGENCY,50,50,0.9999999999999996,0.0042334566296947,16.8
abilene,2307,EMERGENCY,50,50,1.0,0.0047258017873967,17.3
abilene,2308,EMERGENCY,50,50,1.0,0.0038607046091071,16.9
abilene,2309,OPTIMIZE_K40,40,40,0.9999999999999998,0.0038373824469849,15.3
abilene,2310,OPTIMIZE_K40,40,40,1.0,0.006721823650021,14.7
abilene,2311,OPTIMIZE_K40,40,40,0.9999999999999998,0.0025260823898533,15.3
abilene,2312,OPTIMIZE_K40,40,40,0.9999999999999998,0.0022408560872016,14.6
abilene,2313,OPTIMIZE_K40,40,40,1.0,0.0023134123917876,14.3
abilene,2314,OPTIMIZE_K40,40,40,0.9999999999999998,0.0049408855795146,15.4
abilene,2315,EMERGENCY,50,50,0.9999999999999998,0.0075856939979648,15.9
abilene,2316,EMERGENCY,50,50,0.9999999999999998,0.0033285648337765,18.7
abilene,2317,OPTIMIZE_K40,40,40,0.9999999999999998,0.0025635510693885,14.9
abilene,2318,OPTIMIZE_K40,40,40,1.0,0.0024486007616946,13.6
abilene,2319,OPTIMIZE_K40,40,40,1.0,0.006382633664222,15.6
abilene,2320,OPTIMIZE_K40,40,40,1.0,0.0051328940867394,13.7
abilene,2321,OPTIMIZE_K40,40,40,1.0,0.0072921546832504,13.5
abilene,2322,OPTIMIZE_K40,40,40,1.0,0.0040688660659382,14.3
abilene,2323,OPTIMIZE_K40,40,40,1.0,0.0075458156030811,14.5
abilene,2324,OPTIMIZE_K40,40,40,1.0,0.0033580703321281,14.6
abilene,2325,EMERGENCY,50,50,1.0,0.0055089962355197,20.0
abilene,2326,OPTIMIZE_K40,40,40,0.9999999999999998,0.0048670375101764,14.4
abilene,2327,EMERGENCY,50,50,0.9999999999999998,0.0107163683906947,17.5
abilene,2328,EMERGENCY,50,50,1.0,0.0039082174170402,18.1
abilene,2329,EMERGENCY,50,50,0.9999999999999998,0.0012178500537475,16.7
abilene,2330,EMERGENCY,50,50,0.9999999999999998,0.0054834378322624,17.1
abilene,2331,EMERGENCY,50,50,0.9999999999999998,0.0036150295898976,17.9
abilene,2332,EMERGENCY,50,50,1.0,0.0036940364322169,18.5
abilene,2333,EMERGENCY,50,50,0.9999999999999998,0.0031746372991897,18.3
abilene,2334,EMERGENCY,50,50,0.9999999999999998,0.0572667772871558,18.9
abilene,2335,EMERGENCY,50,50,1.0,0.0019495740016856,16.8
abilene,2336,EMERGENCY,50,50,0.9999999999999998,0.0016187159295774,17.3
abilene,2337,EMERGENCY,50,50,1.0,0.0036789161525761,16.9
abilene,2338,EMERGENCY,50,50,1.0,0.000630879117621,17.2
abilene,2339,OPTIMIZE_K40,40,40,1.0,0.0064780204736399,13.7
abilene,2340,OPTIMIZE_K40,40,40,1.0,0.0125619845864446,14.1
abilene,2341,EMERGENCY,50,50,1.0,0.0003936604764086,16.8
abilene,2342,EMERGENCY,50,50,0.9999999999999998,0.0024056948466921,16.1
abilene,2343,OPTIMIZE_K40,40,40,1.0,0.0103420002507613,14.1
abilene,2344,EMERGENCY,50,50,0.9999999999999998,0.0050999783280336,17.3
abilene,2345,EMERGENCY,50,50,1.0,0.0024211248165088,17.1
abilene,2346,EMERGENCY,50,50,1.0,0.0122859502277482,17.4
abilene,2347,EMERGENCY,50,50,1.0,0.0037095168550037,17.3
abilene,2348,EMERGENCY,50,50,0.9999999999999998,0.0029185684949581,17.3
abilene,2349,EMERGENCY,50,50,0.9999999999999998,0.0101282090103215,18.0
abilene,2350,EMERGENCY,50,50,0.9999999999999998,0.0031061033067453,18.1
abilene,2351,EMERGENCY,50,50,0.9999999999999998,0.0057953218351418,17.1
abilene,2352,EMERGENCY,50,50,0.9999999999999998,0.0065840798701658,18.5
abilene,2353,OPTIMIZE_K40,40,40,1.0,0.018176494036353,14.0
abilene,2354,EMERGENCY,50,50,1.0,0.0142033166954577,16.1
abilene,2355,EMERGENCY,50,50,1.0,0.0038557366655205,16.0
abilene,2356,EMERGENCY,50,50,0.9999999999999998,0.0038927081520707,17.2
abilene,2357,EMERGENCY,50,50,1.0,0.0047002553852367,17.2
abilene,2358,EMERGENCY,50,50,1.0,0.0055575895128598,17.9
abilene,2359,EMERGENCY,50,50,1.0,0.0057455162798727,16.8
abilene,2360,EMERGENCY,50,50,1.0,0.0038226013954508,17.3
abilene,2361,EMERGENCY,50,50,0.9999999999999996,0.0063337793765364,17.1
abilene,2362,EMERGENCY,50,50,1.0,0.0039300692129912,16.9
abilene,2363,EMERGENCY,50,50,1.0,0.00422986893945,17.3
abilene,2364,EMERGENCY,50,50,1.0,0.0037900311701513,18.1
abilene,2365,EMERGENCY,50,50,1.0,0.0037416594230566,17.9
abilene,2366,EMERGENCY,50,50,1.0,0.0058005072404832,17.1
abilene,2367,EMERGENCY,50,50,1.0,0.0105658193140113,17.4
abilene,2368,EMERGENCY,50,50,1.0,0.0027754682967015,16.3
